Com_Sp_lst,Species,Syn,M1a,M2a,M3a,M4a,M5a,M6a,M7a,M8a,M9a,M10a,M11a,M12a,M13a,T1a,T2a,T3a,T4a,T5a,T6a,T7a,T8a,T9a,T10a,T11a,T12a,T13a,T14a,T15a,T16a,T17a,M1b,M2b,M3b,M4b,M5b,M6b,M7b,M8b,M9b,M10b,M11b,M12b,M13b,T1b,T2b,T3b,T4b,T5b,T6b,T7b,T8b,T9b,T10b,T11b,T12b,T13b,T14b,T15b,T16b,T17b
Fragilaria virescens,Fragilaria virescens,Fragilaria virescens var. exigua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gomphonema acuminatum,Gomphonema acuminatum,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gomphonema angustatum,Gomphonema angustatum,NA,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,4,2,,,,,,,,,1,,,,3,,,,,1,,,,,,,,,
Gomphonema clevei,Gomphonema clevei,NA,,,,3,,1,1,,,,1,,,,,11,2,,,,,,,,,,,,1,,1,1,,,,,,,1,,,,,1,,4,,,,1,,,,,,,,,,1
Gomphonema gracile,Gomphonema gracile,NA,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gomphonema lagenula,Gomphonema parvulum var. lagenula,NA,1,1,1,9,8,6,4,4,9,4,1,1,6,3,1,5,8,,,10,,,,,4,4,4,3,,1,,,,2,5,2,3,2,5,3,1,,8,,,1,4,1,,,,,4,,128,,1,,2,
Gomphonema minutum,Gomphonema minutum,NA,,,,1,,,,,,,1,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,4,,,,
Gomphonema olivaceum,Gomphonema olivaceum,NA,,,,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,1,,,,,,,,,,,4,,1,,4,
Gomphonema parvulum,Gomphonema parvulum,NA,,1,1,1,,2,,1,2,,,,,,,,5,2,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,1,,,,2,
Gomphonema pseudoaugur,Gomphonema pseudoaugur,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
